12,CENTRO DE CONVENCIONES Y EXPOSICIONES YUCATÁN SIGLO XXI (Zona central),MARZO,Fototeca Pedro Guerra de la Facultad de Ciencias Antropológicas-UADY ,"14/03/2026 9:00 h
 AL 22/03/2026 9:00-21:00 h
","Exposición de acervo fotográfico Título: Derroteros y Disfraces. El carnaval de Mérida a principios s. XX
Participan(n): Cinthya Cruz Castro (coordinación), Ricardo Pat Chan (investigación).  
Organiza: Fototeca Pedro Guerra de la Facultad de Ciencias Antropológicas-UADY",Exposición de acervo fotográfico,30,Exposición de acervo fotográfico,"Participan(n): Cinthya Cruz Castro (coordinación), Ricardo Pat Chan (investigación).",,,,,,,,,,,,
13,CENTRO DE CONVENCIONES Y EXPOSICIONES YUCATÁN SIGLO XXI (Zona sur),MARZO,"Fundación SM FILEY-UADY
","14/03/2026 9:00 h
 AL 22/03/2026 9:00-21:00 h
"," Exposición de ilustración
Título: 16 Iberoamérica Ilustra
Una ilustración iberoamericana: una mirada propia
Organiza: Fundación SM FILEY-UADY",Exposición de ilustración ,116,Exposición de ilustración ,Participa(n): 44 Exposición Colectiva,,,,,,,,,,,,
14,"CENTRO DE CONVENCIONES Y EXPOSICIONES YUCATÁN SIGLO XXI (Sala Hernán Lara Zavala, sala compartida)",MARZO,FILEY- KOOKAY EDICIONES,"14/03/2026 9:00 h
 AL 22/03/2026 9:00-21:00 h
","Exposición de ilustraciones
Título: Bestiario Maya 
Organiza: Kóokay Ediciones e independiente",Exposición de ilustraciones,18,Exposición de ilustraciones,"Participa (n): Oswaldo Baqueiro Brito, basado en el libro de Roldán Peniche Barrera",,,,,,,,,,,,
15,"CENTRO DE CONVENCIONES Y EXPOSICIONES YUCATÁN SIGLO XXI (Sala Hernán Lara Zavala, sala compartida)",MARZO,FILEY-UADY,"14/03/2026 9:00 h
 AL 22/03/2026 9:00-21:00 h
","Exposición de ilustraciones
Título: El Monstruo de la marea 
Organiza: FILEY-UADY",Exposición de ilustraciones,20,Exposición de ilustraciones,Participa (n): Selene María Acosta Audeves (La Chova),,,,,,,,,,,,
16,"CENTRO DE CONVENCIONES Y EXPOSICIONES YUCATÁN SIGLO XXI (Salón Chichén Itzá, entrada poniente)",MARZO,FILEY-UADY,"14/03/2026 9:00 h
 AL 22/03/2026 9:00-21:00 h
","Exposición de Arte correspondencia, mail art        
Título: La Lectura una mirada. Arte Correspondencia, mail art
Organiza: FILEY-UADY",Exposición de arte,103,Exposición de arte,Participa(n):  88 Coordina: Guillermo Diaz Cuello (Guijarro),,,,,,,,,,,,
17,CENTRO DE CONVENCIONES Y EXPOSICIONES YUCATÁN SIGLO XXI (Sala Effy Luz Vázquez),MARZO ,FILEY,"14/03/2026 9:00 h
 AL 22/03/2026 9:00-21:00 h
","Exposición de pintura, ilustración, comic y fotografía.
Título: Lucha Libre Neoclásica y Regional
Organiza: Lmp. Emilio Antonio Gutiérrez Contreras y Gilbert Aroldo Quijano Molina.",Exposición de pintura,35,Exposición de pintura,"Participa(n): 10  “Colectivo de Artes y letras de San Sebastián” Manuel Antonio Reyes Cetz, José Juan Cervera, Agustín Chong, Fernando Cuervo, Terry Lair, Walter Vázquez, Emilio Antonio Gutiérrez Contreras, Gilbert Aroldo Quijano Molina.",,,,,,,,,,,,
18,CENTRO DE CONVENCIONES Y EXPOSICIONES YUCATÁN SIGLO XXI (Sala José Emilio Pacheco),MARZO,FILEY-SEGEY,"14/03/2026 9:00 h
 AL 22/03/2026 9:00-21:00 h
","Exposición de pintura 
Título: Laket K’iin Yetel Akab (Equinoccio) CEBA-SEGEY
Organiza: Área de talleres matutinos del Centro Estatal de Bellas Artes SEGEY",Exposición de pintura,24,Exposición de pintura,"Participa(n): Alumnos de área de artes visuales Mtra. Miriam Pérez Ballesteros
",,,,,,,,,,,,
19,CENTRO DE CONVENCIONES Y EXPOSICIONES YUCATÁN SIGLO XXI (Zona Infantil 1),MARZO,SEGEY,"14/03/2026 9:00 h
 AL 22/03/2026 9:00-21:00 h
","Exposición de Ilustración 
Título: El vuelo del Pájaro Tooj
Organiza: SEGEY",Exposición de ilustración,20,Exposición de ilustración,Participa: David Canul  (Pájaro Tooj),,,,,,,,,,,,
20,"CENTRO DE CONVENCIONES Y EXPOSICIONES YUCATÁN SIGLO XXI (Zona Infantil 2)
",MARZO,FILEY-UADY,"14/03/2026 9:00 h
 AL 22/03/2026 9:00-21:00 h
","Exposición colectiva de pintura 
Título: El principito ilustrado
Organiza: Sandra Nikolai, FILEY-UADY
",Exposición de pintura,25,Exposición colectiva de pintura,Participa(n): Alumnos del Estudio S. Nikolai ,,,,,,,,,,,,
21,CENTRO DE CONVENCIONES Y EXPOSICIONES YUCATÁN SIGLO XXI (Zona Infantil 3),MARZO,FILEY-UADY,"14/03/2026 9:00 h
 AL 22/03/2026 9:00-21:00 h
","Exposición de artes visuales
Título: Típico de Yucatán
Organiza: Colectivo Cultural de Festival La Calle de los Murales de Dzidzantún, FILEY-UADY",Exposición de artes visuales,17,Exposición de artes visuales,"Participa(n): Alejandro Rosales Coral (director), Jaydi Novelo Alfaro, Adán Marrufo Campos, Karla Rincón, Landy Cruz Yanes, Mario Campos Cruz, Georgina García Kú y María Guadalupe Coral Aguilar",,,,,,,,,,,,
22,CENTRO DE CONVENCIONES Y EXPOSICIONES YUCATÁN SIGLO XXI (Salón Uxmal 3),MARZO,FILEY-UADY,"14/03/2026 9:00 h
 AL 22/03/2026 9:00-21:00 h
","Exposición de pintura 
Título: Campeche: crisol de un himno
Organiza: FILEY-UADY",Exposición de pintura,9,Exposición de pintura,Participa(n): Héctor Domingo Pacheco Berzunza,,,,,,,,,,,,
23,"CENTRO DE CONVENCIONES Y EXPOSICIONES YUCATÁN SIGLO XXI (Uxmal 4)
",MARZO,"Bibliotecas Región Monterrey, Biblioteca Campus Monterrey Tecnólogico de Monterrey","14/03/2026 9:00 h
 AL 22/03/2026 9:00-21:00 h
","Exposición documental
Título: Mujeres de tinta y papel. Presencia femenina en la Biblioteca Cervantina
Organizan: Yolanda Maya Ortega (Directora de Bibliotecas Región Monterrey), Lizette Zaldívar Larrañaga (Directora Nacional de Patrimonio Cultural) y Marcela Beltrán Bravo (Directora de colecciones especiales Biblioteca Campus Monterrey Tecnológico de Monterrey",Exposición documental,12,Exposición documental,"Participan: Marina Garone Gravier y Elizabeth Treviño (curaduría)
",,,,,,,,,,,,
24,"CENTRO DE CONVENCIONES Y EXPOSICIONES YUCATÁN SIGLO XXI (Zona de restaurantes)
",MARZO,FILEY-UADY,"14/03/2026 9:00 h
 AL 22/03/2026 9:00-21:00 h
","Exposicion gráfica
Título: Ilustraciones del año nuevo chino 2026, Año del Caballo de Fuego
Organiza: Instituto Confucio UADY",Exposición gráfica,10,Exposición gráfica,Participa(n): Instituto Confucio UADY,,,,,,,,,,,,
25,CENTRO DE CONVENCIONES Y EXPOSICIONES YUCATÁN SIGLO XXI (Salón Uxmal 3),MARZO,DIARIO DE YUCATÁN-FILEY,"14/03/2026 9:00 h
 AL 22/03/2026 9:00-21:00 h
","Exposición de gráfica 
Título: Yucatán 100 años de Historia
Organiza: Diario de Yucatán
",Exposición gráfica,14,Exposición gráfica,Participan(n): DY,,,,,,,,,,,,
26,CENTRO DE CONVENCIONES Y EXPOSICIONES YUCATÁN SIGLO XXI (Entrada principal),MARZO,DIARIO DE YUCATÁN-FILEY,"14/03/2026 9:00 h
 AL 22/03/2026 9:00-21:00 h
","Exposición gráfica
Título:100 joyas del arte sacro de la península de Yucatán DY
Organiza: Diario de Yucatán


",Exposición gráfica,28,Exposición gráfica,Participan: DY,,,,,,,,,,,,
27, CENTRO DE CONVENCIONES Y EXPOSICIONES YUCATÁN SIGLO XX (Salon Uxmal 2),MARZO ,"Dirección General de Museos y Patrimonio-SEDECULTA, Dirección Facultad de Antropología UADY, Codirección CEMYK","14/03/2026 9:00 h
 AL 22/03/2026 9:00-21:00 h
","Exposicion de archivo fotográfico
Título: Knórosov In memoriam
Organiza: Dirección General de Museos y Patrimonio-SEDECULTA, Dirección Facultad de Antropología UADY, Codirección CEMYK",Exposición de archivo fotográfico,29,Exposición de archivo fotográfico,"Participa(n):  SEDECULTA, UADY, CEMYK, UERH 
 ",,,,,,,,,,,,
28, CENTRO DE CONVENCIONES Y EXPOSICIONES YUCATÁN SIGLO XXI (Entrada Sur),MARZO,FILEY- Colectivo de Artes y letras de San Sebastián," 20/3/2026,  19h","1 Función de lucha libre
Fechas: 20  de marzo, 19h
Título: Lucha Libre Neoclásica y Regional
Organiza: Lmp. Emilio Antonio Gutiérrez Contreras y Gilbert Aroldo Quijano Molina.


",Función de lucha libre,N/A,1 funciones de lucha libre,"Participan(n): Arkanos 2000                           
Jaguar Sagrado 
Felino Maya
Bhramari
Rustiko
Kirai
Altanix
Pyro Jr.
Último Mohicanno
Teniente Firestone Jr.
Black Dragon 
Volcán 
Canino
Viento Negro
Omega Rojo 
Último Samurai
Valak
Terremoto Negro Jr.
Lince 
Máscara Plateada
Cerverus
Veneno Maya
Rayo de Plata
Angelito Vengador 
Ultra Star
Acua Boy
Comandante Villa
Shangai Kid
Multi Aéreo 
Viento de Plata
Príncipe Guerrero
",,,,,,,,,,,,
29, Museo Regional de Antropología Palacio Cantón (acera del Paseo de Montejo),MARZO-ABRIL,"INAH, FILEY-UADY
"," Inauguración: 17 de marzo de 2026, 8:00 h
17/03/2026 AL 17/04/2026 horario abierto","Exposición de fotografía 
Título: Arraigo
Organiza: INAH, FILEY-UADY
",Exposición Fotográfica ,20,Exposición Fotográfica ,Participa(n): Bénédicte Desrus,,,,,,,,,,,,
30, Museo de la ciudad del Ayuntamiento de Mérida (Galería) ,MARZO-MAYO,"UNIVERSIDAD AUTONOMA DE BAJA CALIFONRIA, FILEY Y UADY","Inauguración: jueves 19 de marzo de 2026,13:00 h
19/03/2026  A 19/05/2026","Exposición de Fotografía
Título: Las cuatro estaciones de Calafia
Organiza: Facultad de artes de Mexicali, Universidad Autónoma de Baja California, FILEY-UADY ",Exposición de Fotografía,27,Exposición de Fotografía,"Participa(n): Rosa Beltrán Pedrín 
",,,,,,,,,,,,
31,Museo de la ciudad del Ayuntamiento de Mérida. (Vestíbulo planta baja),MARZO-MAYO,"CAHAD, FILEY-UADY","Inauguración: jueves 19 de marzo de 2026,13:00 h
19/03/2026  A 19/05/2026 L-V 10:00-19:00 h","Exposición de Gráfica 
Título: Izamal. El rostro oculto
Organiza: CAHAD, FILEY-UADY",Exposición gráfica,18,Exposición gráfica,Participan(n): José Pool Mashka,,,,,,,,,,,,
32,Museo de la ciudad del Ayuntamiento de Mérida. (Vestíbulo planta baja),MARZO-MAYO," Instituto de Cultura y Artes de Campeche,  FILEY-UADY","Inauguración: jueves 19 de marzo de 2026,13:00 h
19/03/2026  A 19/05/2027","Exposición de cerámica 
Título: ""Primer fuego"" / Muestra de cerámica de ""La Arrocera""
Organiza: Instituto de Cultura y Artes de Campeche,  FILEY-UADY",Exposición de cerámica,17,Exposición de cerámica,"Participan(n): 9 Potter, Darwin Coox, Deisy Sánchez, Rosalba Pedroza, Zolano y Fernando Muñoz",,,,,,,,,,,,
33, Centro Cultural Universitario (Ex Salón de Consejo Universitario),MARZO-MAYO, FILEY-UADY,"Inauguración: sábado 21 de marzo de 2026,12:00 h
21/03/2026 de 9:30 a 13:30 h, 23/06/2026 de 8:00 a 20:00 h","Primer Encuentro de la Masonería Progresista
Título: ""La Masonería del siglo XXI: filosofía humanista, prospectiva y acción dialéctica para un mundo en transformación""
Organiza: Gilbert Aroldo Quijano Molina ",,N/A,,,,,,,,,,,,,,
"PRESENCIAL
Conferencias, charlas, conversatorios y presentaciones editoriales
Del martes 17 al viernes 20 de marzo de 2025",,,,,,,,,,,,,,,,,,,,,
1,"Auditorio de la biblioteca del Campus Arquitectura, Hábitat, Arte y Diseño UADY 
",MARZO, Directiva del Museo Comunitario FILEY UADY,17/03/2026 9:00-9:50 h,"Conferencia
Título: Museo Comunitario Itzmal Kauil
Organiza: Directiva del Museo Comunitario FILEY UADY

",Conferencia,N/A,Coferencia,Participa (n) 1: Juan Fermín Santos Cortés,,,,,,,,,,,,
2,"Auditorio de la biblioteca del Campus Arquitectura, Hábitat, Arte y Diseño UADY 
",MARZO, Coordinación de la Licenciatura en Artes Visuales Facultad de Arquitectura UADY,"17/03/2026  10:00-10:50 h
","Conversatorio
Título: “Narrativas visuales: el álbum ilustrado como territorio creativo”
Análisis y presentación de proyectos de álbum ilustrado realizados por estudiantes.
Organiza: Coordinación de la Licenciatura en Artes Visuales Facultad de Arquitectura UADY

",Convesatorio,N/A,Convesatorio,"Participa(n) 4: Majo Sobrino “Detrás del Show” - Ilustradora
Pamela Manzanero ""El jardín de las emociones"" - Ilustradora
Dra. Isela Guadalupe González Marín (Modera) Doctora en Ciencias Sociales y Humanísticas y 
Lic. en A. V. Taimy Pérez Caamal M.D.U. ",,,,,,,,,,,,
3,"Auditorio de la biblioteca del Campus Arquitectura, Hábitat, Arte y Diseño UADY 
",MARZO, Coordinación de la Licenciatura en Artes Visuales Facultad de Arquitectura UADY,"17/03/2026 11:00-11:50 h
","Presentación de libro
Título: El monstruo de la marea-álbum ilustrado
Organiza: Coordinación de la Licenciatura en Artes Visuales Facultad de Arquitectura UADY

",Presentación de libro,N/A,Presentación de libro,"Participa (n) 3: Selene Acosta Audeves “La Chova” ilustradora
Dra. Isela Guadalupe González Marín (Modera) Doctora en Ciencias Sociales y Humanísticas y Lic. en A. V. Taimy Pérez Caamal M.D.U. ",,,,,,,,,,,,
4,"Auditorio de la biblioteca del Campus Arquitectura, Hábitat, Arte y Diseño UADY 
",MARZO,FILEY-UADY,"18/03/2026 9:00-9:50 h
","Charla virtual 
Título: Hablando se entiende la gente: experimentos y travesuras desde un archivo feminista.
Organiza: FILEY-UADY",Charla virtual,N/A,Charla virtual,Participa (n) 1: Mónica Mayer,,,,,,,,,,,,
5,"Auditorio de la biblioteca del Campus Arquitectura, Hábitat, Arte y Diseño UADY 
",MARZO,FILEY-UADY,18/03/2026 10:00-10:50 h,"Conversatorio
Título: Un acercamiento a la obra de Gabriel Ramírez Aznar
Organiza: Luis Ramírez Carrillo, FILEY-UADY",Convesatorio,N/A,Convesatorio,"Presenta (n) 4: Luis Ramírez, Maricruz Castro Ricalde, Jorge Cortés Ancona y Rafael Pérez y Pérez",,,,,,,,,,,,
6,"Auditorio de la biblioteca del Campus Arquitectura, Hábitat, Arte y Diseño UADY 
",MARZO,FILEY-UADY,"18/03/2026  11:00 a 11:50 h
","Conversatorio
Título: Trazos y Sentires: Desde la espontaneidad.
Moderador: Jorge Luis Canché Escamilla
Organiza: FILEY-UADY",Convesatorio,N/A,Convesatorio,"Participan (n)4: Alitzel Guadalupe Escamilla Haas, Isabel Cristina Cetina Castillo, Ramiro Suárez Huchín",,,,,,,,,,,,
7,"Auditorio de la biblioteca del Campus Arquitectura, Hábitat, Arte y Diseño UADY 
",MARZO,"Facultad de artes de Mexicali, Universidad Autónoma de Baja California, Invitada de honor","19/03/2026 9:00-9:50 h
","Presentación del libro
Título: Las cuatro estaciones de Calafia
Organiza: Facultad de artes de Mexicali, Universidad Autónoma de Baja California, Invitada de honor",Presentación de libro,N/A,Presentación de libro,Participan (n) 2: Rosa Beltrán Pedrín y Laura Figueroa Lizárraga,,,,,,,,,,,,
8,"Auditorio de la biblioteca del Campus Arquitectura, Hábitat, Arte y Diseño UADY 
",MARZO,"Facultad de artes de Mexicali, Universidad Autónoma de Baja California, Invitada de honor","19/03/2026  10:00-10:50 h
","Presentación del libro
Título: La narrativa en la mirada
Organiza: Facultad de artes de Mexicali, Universidad Autónoma de Baja California, Invitada de honor",Presentación de libro,N/A,Presentación de libro,Participa (n) 2: Víctor Medina Gorosave y Laura Figueroa Lizárraga,,,,,,,,,,,,
9,"Auditorio de la biblioteca del Campus Arquitectura, Hábitat, Arte y Diseño UADY 
",MARZO,"Facultad de artes de Mexicali, Universidad Autónoma de Baja California, Invitada de honor","19/03/2026  11:00-11:50 h
","Conferencia
Título: Entre obra y el texto 
Cómo escribir investigación artística en las artes visuales
Organiza: FILEY-UADY",Conferencia,N/A,Conferencia ,"Participa(n) 2: Dra. Maritza Alejandra Martínez de Coss (ponente) 
Dr. Mario Mendicuti Abarca (moderador) ",,,,,,,,,,,,
10,"Auditorio de la biblioteca del Campus Arquitectura, Hábitat, Arte y Diseño UADY 
",MARZO,FILEY-UADY,20/03/2026 9:00 a 9:50 h," Conversatorio
Título: “Lecturas visuales: cuando el arte interpreta la palabra”
Proyectos que reinterpretan textos literarios desde las artes visuales.
Organiza: Coordinación de la Licenciatura en Artes Visuales Facultad de Arquitectura UADY",Conversatorio,N/A,Conversatorio,"Participa(n) 3: Jesús Novelo “Imaginario Yucateco” - Ilustrador
María Belén Sánchez Herrera (Seudónimo Marbel) “Loch en la hierba” - Ilustradora
Mtra. Taimy Pérez Caamal (Moderadora). ",,,,,,,,,,,,
11,"Auditorio de la biblioteca del Campus Arquitectura, Hábitat, Arte y Diseño UADY 
",MARZO,Coordinación de la Licenciatura en Artes Visuales Facultad de Arquitectura UADY,"20/03/2026 10:00 a 10:50 h
","Presentación de libro
Título: Al vuelo de un diente león
Análisis y presentación de proyectos de álbum ilustrado realizados por estudiantes.
Organiza: Coordinación de la Licenciatura en Artes Visuales Facultad de Arquitectura UADY",Presentación de libro,N/A,Presentación de libro,Participa(n) 2: Literaldo y Taimy Pérez Caamal,,,,,,,,,,,,
12,"Auditorio de la biblioteca del Campus Arquitectura, Hábitat, Arte y Diseño UADY ",MARZO,FILEY-UADY,"20/03/2026  11:00 a 11:50 h
","Presentación de libro 
Título: “Aniversario de la Nada”
Organiza: FILEY-UADY 
",Presentación de libro,N/A,Presentación de libro,Participan (n) 2: Autor: José Luis Ramírez Edición: José Ángel Leyva,,,,,,,,,,,,
2026-05-12 00:00:00,Universidad de las Artes de Yucatán (Salón de Usos Múltiples),MARZO,FILEY-UADY,"20/03/2026  13:00 a 13:50 h
","Presentación de libro 
Título: “Aniversario de la Nada”
Organiza: FILEY-UADY ",Presentación de libro,N/A,Presentación de libro,Participan (n) 2 : Autor: José Luis Ramírez Edición: José Ángel Leyva,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
